,BbMf_PPema_05_S9.counts.cut.txt,BbMf_PPema_07_S11.counts.cut.txt,BbMf_PPema_08_S12.counts.cut.txt,BbSf_PScoc_05_S13.counts.cut.txt,BbSf_PScoc_06_S14.counts.cut.txt,BbSf_PScoc_07_S15.counts.cut.txt,EnMf_PPema_09_S17.counts.cut.txt,EnMf_PPema_10_sub_S18.counts.cut.txt,EnMf_PPema_12_S20.counts.cut.txt,EnSf_Pscoc_09_S21.counts.cut.txt,EnSf_Pscoc_11_S23.counts.cut.txt,EnSf_Pscoc_12_S24.counts.cut.txt,UF_PPema_02_S2.counts.cut.txt,UF_PPema_03_S3.counts.cut.txt,UF_PPema_04_S4.counts.cut.txt,UF_PScoc_02_S6.counts.cut.txt,UF_PScoc_03_S7.counts.cut.txt,UF_PScoc_04_S8.counts.cut.txt
LOC115319409,132.8741,107.0082,129.5902,140.8906,56.84018,53.11223,0,81.70358,59.48152,180.1328,77.51517,168.2569,21.85104,45.29827,21.18132,88.40065,27.27006,45.03658
LOC115319418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319419,0,2.296314,0,27.20014,9.852297,20.09652,32.26134,11.67194,0,20.97933,7.312752,16.82569,0,0.6760936,0,10.40008,0,11.72827
LOC115319410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319412,0,0,0,0.3056196,0,0,0,0,0,0,0.7312752,0,19.03155,0,0,0,16.84327,0
LOC115319407,300.2609,536.8782,406.5894,346.5726,295.5689,479.4455,299.5695,358.4953,315.252,560.6544,346.6244,471.1193,88.10902,66.93327,99.0739,76.70056,112.2885,159.9737
LOC8026499,157.033,151.5567,116.6312,156.1716,147.0266,99.04713,50.69638,133.3936,68.40374,123.7057,144.7925,210.3211,63.43849,127.1056,94.97429,116.3509,135.5483,159.9737
LOC8026498,895.6058,1013.593,793.7402,1012.518,1116.341,1157.703,502.3551,820.3707,576.9707,1165.438,738.5879,919.1033,874.7463,839.7083,984.5896,692.9051,635.232,877.7441
LOC115319408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8043081,0,5.511154,24.29817,2.750576,0,1.435466,0,6.66968,38.66299,0,0,6.309634,0,6.760936,14.34863,20.15015,4.812364,21.11089
LOC115319434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.466146,0,0,0
LOC8043080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319422,0,0,0,16.80908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
